ID,Speed_Number,Speed_Letter,Speed_Figure,Error_Number,Error_Letter,Error_Figure,AverageQus_Par1,AverageQus_Par2,AverageQus_Par3,Number_Letter,Category_Switch,Color_Shape,Keep_Track,Letter_Memory,N_Back,Antisaccade,Stop_Signal,Stroop,OSpan_PCU,RSpan_PCU,SSpan_PCU,RI_F,RI_N,RI_V,DA_Uni,DA_Cross,Factor_Speed,Factor_Error,Factor_Question,Factor_Speed_Question,Factor_Multitasking_Behavior,Factor_Shifting,Factor_Updating,Factor_Inhibition,Factor_WMC,Factor_RI,Factor_DA
48.0,94.0,95.0,116.0,12.32,11.49,11.970000000000002,0.6875,0.8125,0.75,470.97,401.23,1006.8499999999999,0.8035714285714286,0.8333333333333334,0.9871617135282704,0.88,71.37,246.92000000000002,0.4361111111111111,0.7666666666666666,0.4583333333333333,3.12,4.03,2.72,125.0,541.0,-0.5657732489259331,0.4022771720524408,0.45819953384191076,-0.37529175476107873,0.002304688307502911,-0.5984580940794648,1.0389319082547388,-0.3957070543228962,-0.6785189392221753,2.0752678329772314,-1.2809094829816412
49.0,189.0,160.0,208.0,11.27,12.110000000000001,16.82,0.625,0.9375,0.8125,658.86,841.5699999999999,1034.53,0.8214285714285714,0.75,1.0065004347781341,0.82,217.96,266.95,0.85,0.6972222222222223,0.5944444444444444,2.6,2.92,3.38,661.0,724.0,1.6909359366581902,0.9244247861439232,0.8937511886434284,1.7581813438184715,2.3310011321208632,1.970063155763558,1.077668427083854,2.4602435554494706,0.12228955969329952,1.325971924967971,1.5681028872527698
50.0,146.0,124.0,141.0,10.31,9.93,15.090000000000002,0.9375,0.8125,0.75,532.74,472.43,904.49,0.6964285714285714,0.6666666666666666,-0.10523143880485678,0.74,206.62000000000003,211.15,0.8611111111111112,0.5972222222222222,0.625,2.76,2.12,2.84,601.0,593.0,0.31657196899615003,0.20453531504494993,0.8569916320777866,0.5918419282132239,0.6957580008542456,-0.1747511185985012,-0.5586825917870836,1.610355819924501,-0.1652846110139229,0.13882675863182461,0.8512636680498291
51.0,96.0,63.0,76.0,11.290000000000001,4.550000000000001,9.650000000000002,0.375,0.8125,0.5,514.6200000000001,460.5,1285.8,0.9107142857142857,0.75,0.6478325891878202,0.19,161.46,212.89000000000001,1.0,0.5166666666666667,0.30277777777777776,2.57,3.18,2.2,590.0,525.0,-1.3138442704755073,-1.2648683078610026,-0.5140338160009186,-1.1627600804228195,-2.0863981982214925,0.07714691235119919,1.6809614502696846,-3.4937774492691234,-0.6593911224731697,0.49594978524393674,0.5614768008034814
52.0,146.0,119.0,187.0,7.13,6.09,12.200000000000003,0.625,0.625,0.375,343.30000000000007,477.43,1190.5,0.7142857142857143,0.5,0.016734551306491624,0.69,152.75000000000003,173.69,0.7194444444444444,0.6361111111111112,0.7666666666666666,2.38,2.92,1.79,470.0,337.0,0.7971520829334547,-1.2409980519745132,-0.9773341401867706,0.29315333475043953,-0.7744153524069415,-0.549330524549951,-0.5970574651817442,0.025444954936256037,-0.09959115234202742,-0.22537949773332067,-0.6057573154566668
53.0,116.0,83.0,92.0,12.32,12.200000000000001,17.040000000000003,0.75,0.8125,0.5625,423.06000000000006,686.3199999999999,927.0899999999999,0.7857142857142857,0.75,-0.19379307358155412,0.56,75.83000000000004,48.00999999999999,0.4694444444444445,0.7888888888888889,0.5972222222222222,2.6,3.65,2.27,0.0,381.0,-0.8178648520256626,1.1033289939150475,0.20259013811489132,-0.5338417401818673,0.44604069470292956,0.3698262733824731,0.2769022560497005,-2.6731101862628766,-0.32057338490980974,1.0327203477261429,-2.3677568917856635
54.0,95.0,143.0,172.0,11.280000000000001,9.25,13.160000000000002,0.6875,0.5,0.625,602.1800000000001,756.54,882.99,0.8392857142857143,0.8333333333333334,0.7345258017463528,0.61,156.87000000000003,195.65,1.0,0.4138888888888889,0.8166666666666668,2.44,3.39,4.02,464.0,570.0,0.5352330875853002,-0.010203326707235477,-0.8207067611783077,0.007228248789539496,-0.002091319646515828,1.2611387042314925,1.2347987933426112,-0.4762210795635823,-0.24547618804979104,2.2819765309716606,0.20866616370499808
55.0,88.0,67.0,68.0,7.970000000000001,10.260000000000002,7.480000000000002,0.625,0.4375,0.4375,614.9200000000001,556.65,905.67,0.6964285714285714,0.6666666666666666,-0.8098282583023604,0.55,218.00000000000003,201.53000000000003,0.5222222222222223,0.5777777777777778,0.6416666666666667,2.21,2.14,1.68,0.0,0.0,-1.4174940711449777,-0.8989118930456574,-1.4841191423225102,-1.552828154994902,-2.12748655299518,0.4763705639579356,-0.8520279581108801,0.4548248361849967,-0.8985098018794231,-1.1718185191311516,-3.7395850909413983
56.0,118.0,114.0,144.0,3.790000000000001,6.49,13.910000000000002,0.75,0.5625,0.6875,310.4800000000001,557.22,1080.08,0.6964285714285714,0.6666666666666666,-0.5923528437125941,0.49,193.91000000000003,265.36,0.75,0.17777777777777778,0.5638888888888888,2.93,1.54,2.23,424.0,384.0,0.08323038650824452,-1.4129948861631396,-0.39416599355809734,-0.06982199628618892,-1.2399342628495063,-0.4318685049110529,-0.7614862420628976,-0.5336281718285042,-1.9796799744339038,-0.892150031924526,-0.6244857452912735
57.0,69.0,93.0,123.0,8.15,9.450000000000001,17.57,0.6875,0.5,0.3125,353.39000000000004,651.23,893.0999999999999,0.75,0.4166666666666667,0.5771880088466341,0.66,92.41000000000003,210.3,0.9166666666666666,0.7722222222222221,0.6694444444444444,2.76,2.25,2.72,536.0,442.0,-0.6592393025136672,0.11281008800206777,-1.4128857949882883,-1.1773256031220993,-0.9507977706296091,-0.05920871876082673,-0.18251470880514306,-1.5565801940257813,0.6391948070441192,0.15691464753812423,0.041982406803079186
58.0,75.0,81.0,91.0,6.07,8.740000000000002,15.980000000000002,0.1875,0.5,0.25,283.94000000000005,508.53,760.55,0.5892857142857143,0.9166666666666666,-1.0613358090032023,0.5,97.33000000000004,128.72,1.0,0.34722222222222215,0.5166666666666667,2.6,2.1,1.68,543.0,402.0,-1.1022538518079437,-0.46895333501990477,-2.3289057982220362,-1.6463562294684215,-1.8520472796041012,-1.0408281296975253,-1.500364440181175,-2.6346920849791093,-0.9387717113260303,-1.0122153834318754,-0.07343946279382935
59.0,89.0,111.0,104.0,8.02,4.790000000000001,13.720000000000002,0.625,0.5625,0.5625,571.99,514.55,644.02,0.7857142857142857,0.4166666666666667,0.4245472924337239,0.8,95.83000000000004,267.84000000000003,0.9333333333333332,0.8611111111111112,0.8222222222222221,2.34,2.46,3.38,600.0,640.0,-0.583623136508606,-1.1911775689156292,-0.8304336562000275,-0.7523980881859791,-1.660779617902104,-0.10687576044115818,0.05498325721360914,-0.4392340591428383,1.2220519882420375,0.7451964712194987,1.0164058059847483
